price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,tps
6307.46,70000000.0,10000000000000.0,17211952.39,15413467.31,16994306.43,21856628.0,88540000.0,88040000.0,1.95
6342.06,93000000.0,10000000000000.0,17213827.65,15414972.89,16994977.64,21856478.0,185000000.0,170000000.0,2.52
6044.69,1200000.0,10000000000000.0,17215528.08,15416823.81,16994043.02,21885743.0,243000000.0,242000000.0,2.92
6393.05,1400000.0,11000000000000.0,17217540.84,15418106.12,16997882.61,21909073.0,193000000.0,250000000.0,2.85
6351.17,84000000.0,10000000000000.0,17219516.07,15420204.91,16999902.63,21929783.0,124000000.0,124000000.0,2.68
6476.88,90000000.0,11000000000000.0,17221416.37,15422091.95,17006878.34,21947057.0,176000000.0,107000000.0,2.73
6438.75,74000000.0,11000000000000.0,17223416.54,15423413.15,17005594.26,21972610.0,73720000.0,73080000.0,2.2
6410.0,51000000.0,11000000000000.0,17225229.2,15424775.32,17008996.83,21987763.0,53000000.0,64160000.0,1.86
6410.31,78000000.0,11000000000000.0,17227104.43,15427470.75,17006282.12,21981456.0,122000000.0,115000000.0,2.54
6394.22,70000000.0,11000000000000.0,17228954.64,15428863.82,17012348.14,21989525.0,160000000.0,121000000.0,2.54
6570.08,1400000.0,11000000000000.0,17230954.8,15431815.12,17012435.78,22007563.0,209000000.0,195000000.0,2.6
6436.9,70000000.0,11000000000000.0,17232817.47,15433983.3,17017122.68,22042337.0,158000000.0,189000000.0,2.52
6562.59,79000000.0,11000000000000.0,17234642.61,15436544.09,17024166.33,22042274.0,186000000.0,162000000.0,2.57
6713.27,45000000.0,11000000000000.0,17236330.61,15438482.0,17026679.41,22048714.0,93580000.0,89940000.0,2.25
6666.95,43000000.0,11000000000000.0,17238493.27,15439954.52,17027682.36,22034087.0,88840000.0,81400000.0,1.97
6735.51,69000000.0,11000000000000.0,17240806.17,15442624.24,17033530.81,21993298.0,183000000.0,159000000.0,2.64
6990.63,96000000.0,12000000000000.0,17242718.95,15444743.91,17040170.04,21951659.0,218000000.0,154000000.0,2.74
7034.93,75000000.0,12000000000000.0,17244456.8,15446499.89,17040453.09,21980820.0,201000000.0,170000000.0,2.72
6913.01,84000000.0,11000000000000.0,17246382.05,15449494.61,17041568.47,21977879.0,189000000.0,146000000.0,2.7
6978.5,75000000.0,12000000000000.0,17248319.91,15451356.13,17044312.04,21996454.0,199000000.0,171000000.0,2.76
7126.08,73000000.0,12000000000000.0,17250208.08,15453112.46,17049678.85,22000731.0,136000000.0,108000000.0,2.45
7246.26,89000000.0,12000000000000.0,17252008.31,15455030.54,17052829.39,22029754.0,119000000.0,98650000.0,2.13
7249.77,66000000.0,12000000000000.0,17253808.57,15456727.27,17054147.91,22023688.0,170000000.0,128000000.0,2.6
7323.56,74000000.0,12000000000000.0,17255383.93,15458671.39,17057378.59,22034568.0,228000000.0,169000000.0,2.77
7026.96,1300000.0,12000000000000.0,17257034.25,15459841.46,17049788.82,22023917.0,249000000.0,190000000.0,2.77
6426.4,1300000.0,11000000000000.0,17258909.61,15461897.28,17043857.25,22026024.0,297000000.0,201000000.0,2.92
6437.18,74000000.0,11000000000000.0,17260809.86,15463660.98,17043683.06,22047256.0,150000000.0,183000000.0,2.67
